,公转中心,轨道半径,半径,自转周期,公转周期,轨道离心率
Sun,Sun,0,696000,25.38,0,0
Mercury,Sun,57909175,2439.7,58.646,87.97,0.20563069
Venus,Sun,108208930,6051.8,243,224.7,0.0068
Earth,Sun,149597890,6378.14,0.99726968,365.24,0.01671022
Mars,Sun,227936640,3397,1.026,686.93,0.0934
Jupiter,Sun,778412020,71492,0.41354,4330.46806,0.04839
saturn,Sun,1426725400,60268,0.44401,10755.58752,0.0541506
Uranus,Sun,2870972200,25559,0.718,30687.4648,0.047168
Neptune,Sun,4498252900,24764,0.67125,60187.8996,0.00859
Pluto,Sun,5906380000,1151,6.387,90550.3008,0.2488
Moon,Earth,7687980,868.55,27.32,27.32,0.01
